filename,sdid_estimate,standard_error
,0.2608448,0.0010233
,0.2584283,0.0022904
,0.2601828,0.0000316
,0.2592413,0.0000491
,0.2562637,0.0017728
,0.256207,0.0010355
,0.2607164,0.0034423
,0.2619603,0.0002112
,0.2603153,0.0021951
,0.2616004,0.0005112
,0.2603318,0.0003492
,0.2563182,0.0029939
,0.2705844,0.0022616
,0.2590638,0.0014436
,0.2578593,0.0004727
,0.2594623,0.0014476
,0.2644182,0.0005552
,0.2607445,0.0005611
,0.2640127,0.0012479
,0.2621064,0.000848
,0.2605311,0.000595
,0.2527824,0.0006128
,0.2614942,0.0015499
,0.2621304,0.0026513
,0.260516,0.0006263
,0.2594512,0.0010259
,0.2635643,0.0009706
,0.2560876,0.0022088
,0.2590917,0.0003854
,0.2595722,0.000838
,0.2735589,0.0015372
,0.2567658,0.0012316
,0.2626706,0.0031202
,0.2605751,0.0014185
,0.2600267,0.0005075
,0.2564127,0.001303
,0.2566492,0.0002198
,0.2652927,0.0017997
,0.2624451,0.0010864
,0.2512584,0.000126
,0.2585125,0.0006098
,0.2584602,0.0021077
,0.2558075,0.0000535
,0.2631418,0.0000331
,0.2555275,0.0011068
,0.2595681,0.0016625
,0.264306,0.0001794
,0.2643506,0.0014125
,0.2531619,0.0010204
,0.2654952,0.0031193
,0.2606302,0.0011142
,0.2590197,0.0001784
,0.2576982,0.0060981
,0.25685,0.0008958
,0.2594813,0.000333
,0.2592393,0.0020303
,0.2604602,0.0010807
,0.2599445,0.0021474
,0.260602,0.0001523
,0.2563736,0.0021013
,0.2700096,0.0000708
,0.2645063,0.0019975
,0.2549653,0.001106
,0.2628056,0.0013353
,0.2594239,0.0010486
,0.2625624,0.0010474
,0.2628197,0.0018714
,0.2642448,0.000077
,0.2632159,0.0008578
,0.2620653,0.0016775
,0.2601007,0.0011798
,0.2624458,0.0008725
,0.2532055,0.0006304
,0.2603575,0.0017798
,0.2677852,0.0013275
,0.2567614,0.0002309
,0.2587082,0.0000886
,0.2586659,0.0011314
,0.2556007,0.0031882
,0.2613933,0.0003959
,0.26512,0.0001105
,0.2641209,0.000268
,0.2568901,0.0011443
,0.2587056,0.0041143
,0.2572072,0.0007953
,0.2597573,0.0012304
,0.2636387,0.0022881
,0.2585317,0.0006379
,0.2605142,0.0014767
,0.2588962,0.0001307
,0.2614436,0.0003485
,0.2640131,0.0015028
,0.2610741,0.0003559
,0.2635119,0.0005796
,0.2547239,0.0004258
,0.2582004,0.000861
,0.2566612,0.0016526
,0.255512,0.0018473
,0.2545775,0.0008828
,0.2606502,0.0009745
,0.2569468,0.0020759
,0.26458,0.0010437
,0.2590303,0.0002967
,0.259331,0.0014288
,0.2644223,0.0021301
,0.2593867,0.000187
,0.2614511,0.0017119
,0.2629506,0.0004471
,0.2583232,0.0012632
,0.2606926,0.0004604
,0.2591203,0.0020413
,0.2593259,0.0003955
,0.2595309,0.0002613
,0.2655553,0.0009308
,0.2595325,0.000704
,0.2602262,0.0002067
,0.2582035,0.0020882
,0.2606096,0.0005826
,0.2602659,0.0002094
,0.2545305,0.0025272
,0.2602199,0.0032354
,0.2631476,0.0016407
,0.2615667,0.0013913
,0.2587363,0.0007462
,0.2636161,0.0015936
,0.2570861,0.0002845
,0.2594229,0.0021814
,0.2580576,0.0019857
,0.2635512,0.0011071
,0.2621245,0.002021
,0.2615075,0.0004086
,0.258902,0.0003105
,0.2578313,0.0005641
,0.2551113,0.001346
,0.2593866,0.0008738
,0.2526685,0.0002082
,0.2581797,0.0006949
,0.2580558,0.0030028
,0.2705105,0.0002486
,0.2574128,0.0012994
,0.2742349,0.000508
,0.2564691,0.0014164
,0.2585693,0.0002089
,0.2566603,0.001675
,0.2509888,0.0005213
,0.2574337,0.0005141
,0.2632168,0.0005554
,0.2583745,0.001383
,0.2574579,0.0020159
,0.2577569,0.0004721
,0.2570959,0.0029852
,0.2613002,0.0000888
,0.2592593,0.0007238
,0.2573987,0.000828
,0.261157,0.0002466
,0.2593671,0.0000293
,0.261586,0.0035838
,0.2619937,0.0017911
,0.2598566,0.0006841
,0.2582026,0.0010609
,0.2663465,0.001451
,0.2570361,0.0007308
,0.2674954,0.0022102
,0.2616728,0.0012778
,0.261083,0.0004524
,0.2567751,0.0019518
,0.2617738,0.0003299
,0.2583726,0.0001492
,0.2635555,0.0033766
,0.2548363,0.0005699
,0.2600049,0.0014656
,0.2614655,0.001103
,0.2599492,0.0020604
,0.2611583,0.0012422
,0.2594158,0.0010822
,0.2589891,0.0005158
,0.2604495,0.0005335
,0.2590226,0.0017766
,0.2616011,0.0006494
,0.2629799,0.0000262
,0.2553339,0.0020419
,0.2578984,0.0004085
,0.2723339,0.0008586
,0.2624272,0.0016749
,0.2589336,0.003109
,0.2506913,0.0002603
,0.2610329,0.0009058
,0.2648759,0.0000312
,0.2575764,0.000411
,0.2566237,0.0010117
,0.2672878,0.0007498
,0.2605561,0.0023672
,0.2601534,0.0012101
,0.2565948,0.0010769
,0.2586627,0.0008072
,0.2557384,0.003458
,0.2547362,0.0010381
,0.2614699,0.0001841
,0.2567741,0.0003086
,0.2600186,0.0009611
,0.2596274,0.0001027
,0.256599,0.0003672
,0.2571116,0.0025251
,0.2607469,0.0005475
,0.2593097,0.0000238
,0.2603615,0.0004299
,0.2589493,0.0025854
,0.2592012,0.0011759
,0.2611758,0.000532
,0.260096,0.001483
,0.2606539,0.0014002
,0.2508626,0.0015763
,0.2650743,0.003122
,0.2608082,0.0002232
,0.2625735,0.0012773
,0.26035,0.0013388
,0.2579703,0.0016353
,0.2547637,0.0014677
,0.2570651,0.000843
,0.262555,0.0003428
,0.2647414,0.0011324
,0.2608908,0.0005937
,0.2625973,0.0004825
,0.260534,0.0010166
,0.2544964,0.0011243
,0.2623297,0.0000633
,0.2612204,0.0004073
,0.2576308,0.0012855
,0.2540306,0.0008249
,0.2604832,0.0008905
,0.2600026,0.0003321
,0.2570101,0.001184
,0.2614551,0.0008791
,0.2621643,0.0019657
,0.258587,0.0016201
,0.2619072,0.0034561
,0.2641035,0.0033671
,0.2594407,0.001008
,0.2592073,0.0000106
,0.2600367,0.0017706
,0.2619856,0.0001169
,0.2618633,0.0021223
,0.2574879,0.0005772
,0.2596429,0.0004042
,0.2569548,0.0016292
,0.2599079,0.0001034
,0.2616489,0.0023059
,0.2579308,0.0019997
,0.2560197,0.0006017
,0.2604646,0.0001092
,0.2590622,0.0009108
,0.2696268,0.0012919
,0.2562371,0.0006856
,0.26036,0.000989
,0.2672546,0.0004228
,0.2630975,0.0008501
,0.2612359,0.001172
,0.2601248,0.0000432
,0.2573036,0.0000269
,0.2636051,0.0010312
,0.2633569,0.0012948
,0.2624479,0.0021827
,0.2614156,0.0014155
,0.2613883,0.0005023
,0.2567958,0.0008649
,0.2558421,0.0019728
,0.2600868,0.0006426
,0.262038,0.0000704
,0.257675,0.0047304
,0.2667989,0.0027538
,0.2607614,0.0018545
,0.2568021,0.0009174
,0.2566803,0.0001692
,0.2617908,0.0002154
,0.2614225,0.0013918
,0.2567738,0.0003451
,0.258303,0.0003809
,0.2540691,0.0001538
,0.2598233,0.001224
,0.2565257,0.000892
,0.2599423,0.0008767
,0.258487,0.0019359
,0.2597896,0.00021
,0.2582917,0.0004249
,0.2602125,0.0016479
,0.2580082,0.0018601
,0.2611527,0.0015525
,0.2547171,0.0019065
,0.2582167,0.0008841
,0.2652534,0.0021404
,0.2646511,0.0009615
,0.2640932,0.0021893
,0.26201,0.0020296
,0.2577032,0.0014558
,0.2617822,0.0011711
,0.2597232,0.0017523
,0.2610272,0.0017902
,0.2576353,0.0019772
,0.2622875,0.0015208
,0.2606445,0.0005558
,0.2602846,0.0006042
,0.2582558,0.0014579
,0.2628111,0.0000399
,0.25772,0.0003808
,0.2631839,0.0014817
,0.2630234,0.0005885
,0.2592871,0.0020593
,0.2546132,0.0005744
,0.263831,0.0015455
,0.2595084,0.001764
,0.2653162,0.0018038
,0.2611179,0.0018137
,0.2634558,0.0011548
,0.2608354,0.0000853
,0.2637788,0.0006103
,0.2587097,0.0020056
,0.2560748,0.0028079
,0.2631779,0.002345
,0.2572073,0.0008363
,0.2616953,0.0002464
,0.2609641,0.0001785
,0.2601919,0.0028622
,0.2579492,0.0015327
,0.2643557,0.0000953
,0.2666734,0.0003468
,0.2624198,0.0011656
,0.2626413,0.0001046
,0.2578702,0.0015956
,0.2593063,0.0020653
,0.256985,0.0015864
,0.2578226,0.0005731
,0.2562013,0.0002683
,0.254529,0.0006738
,0.2627106,0.0006807
,0.2622049,0.0025328
,0.2605312,0.0018579
,0.2553198,0.0007631
,0.2583789,0.0015556
,0.2618507,0.0020608
,0.2543528,0.0011071
,0.2600098,0.0019882
,0.2598779,0.0003543
,0.2654762,0.0009683
,0.2609797,0.0001912
,0.2557421,0.0021752
,0.2588358,0.000583
,0.2572823,0.0016002
,0.2547729,0.0002439
,0.2607363,0.0027149
,0.2633458,0.0009198
,0.2641229,0.0014918
,0.2603099,0.0014865
,0.2550841,0.0003205
,0.264635,0.0007837
,0.2607029,0.0005322
,0.257132,0.0020159
,0.255854,0.0002924
,0.2581318,0.0035903
,0.2626933,0.0010669
,0.2546329,0.0006395
,0.2587352,0.0039727
,0.2625599,0.0020895
,0.2585253,0.0001251
,0.2681931,0.0004316
,0.2631325,0.0049706
,0.256137,0.0008251
,0.2614439,0.000272
,0.263259,0.0018632
,0.2602884,0.0002764
,0.2598732,0.0004697
,0.2624997,0.0008834
,0.2561934,0.0005083
,0.257603,0.0010816
,0.2577436,0.0018584
,0.2612979,0.0001144
,0.2593108,0.0015527
,0.2598996,0.0003431
,0.259722,0.0016659
,0.2590878,0.0009188
,0.2618225,0.0020053
,0.2584362,0.0022244
,0.255218,0.0019498
,0.2568013,0.000605
,0.2596525,0.0014243
,0.2591467,0.0022122
,0.2605891,0.0001404
,0.2661356,0.0003526
,0.2557241,0.0012341
,0.2598197,0.0005398
,0.2602658,0.0003206
,0.2648418,0.0001667
,0.2534347,0.0006263
,0.2612313,0.0002423
,0.2621633,0.0015571
,0.2568363,0.0007529
,0.2557992,0.0002806
,0.2628871,0.0042755
,0.2553136,0.0012536
,0.2608633,0.0007976
,0.2611702,0.000792
,0.2639727,0.0003752
,0.2584061,0.0000107
,0.2617492,0.0031039
,0.2577193,0.0002066
,0.2589618,0.0025618
,0.2602982,0.0014215
,0.2589096,0.0028716
,0.2623007,0.0014283
,0.2576084,0.0027063
,0.2628449,0.0001357
,0.2611824,0.0022203
,0.2613855,0.0018819
,0.2633878,0.0006155
,0.2583516,0.0025668
,0.2578609,0.0024171
,0.2618509,0.0001982
,0.2604751,0.0001693
,0.2581002,0.0010835
,0.2528062,0.0009538
,0.2616729,0.0006029
,0.2578434,0.000173
,0.2611452,0.0029903
,0.2602545,0.000046
,0.2683606,0.0016878
,0.2649158,0.0026321
,0.2609504,0.0024944
,0.2606751,0.0009886
,0.2561567,0.0016679
,0.2620842,0.0008926
,0.2545506,0.0002136
,0.2613924,0.0015861
,0.2599261,0.000116
,0.2604276,0.0010098
,0.2662997,0.0012241
,0.2600572,0.000711
,0.2575463,0.0008739
,0.261525,0.0012534
,0.2606122,0.0017519
,0.2557415,0.0003742
,0.2551198,0.0003738
,0.2570918,0.0011026
,0.263692,0.0016258
,0.2566237,0.0014527
,0.2561773,0.0019209
,0.2623239,0.0008834
,0.2641337,0.0003222
,0.262962,0.0008219
,0.2575963,0.0014825
,0.2592962,0.0006009
,0.2610574,0.0016431
,0.2594704,0.001454
,0.2628732,0.0004043
,0.2593342,0.0017177
,0.2616119,0.0012431
,0.2571766,0.0018179
,0.2595637,0.0027462
,0.2603902,0.0026182
,0.2525029,0.001071
,0.2612271,0.0009771
,0.2590176,0.0003806
,0.2565261,0.0016442
,0.2612218,0.0021969
,0.2622217,0.0004247
,0.2551864,0.0021023
,0.2554534,0.000356
,0.2592684,0.0014514
,0.2585394,0.0006079
,0.2562292,0.0001096
,0.2658972,0.0001693
,0.2563143,0.000789
,0.2616843,0.0015222
,0.2579586,0.0003929
,0.2559416,0.0001386
,0.2616649,0.0010245
,0.2563851,0.0002916
,0.2591302,0.0014556
,0.2575884,0.000235
,0.2569536,0.0001108
,0.2643723,0.0011314
,0.2556169,0.0023625
,0.2571008,0.0019989
,0.2577915,0.001157
,0.2574418,0.0008822
,0.2585121,0.0009914
,0.2650911,0.0012057
,0.2608633,0.0015401
,0.258798,0.0002389
,0.2626873,0.0020345
,0.2594627,0.0007747
,0.2559335,0.0020307
,0.2565987,0.0043268
,0.260851,0.0031397
,0.2620688,0.001469
,0.2547431,0.0000231
,0.2596349,0.0013984
,0.2601699,0.0006916
,0.2638747,0.0009717
,0.25832,0.0002334
,0.2594145,0.0017733
,0.2601707,0.000186
,0.264379,0.0005517
,0.2590337,0.001109
,0.2602281,0.0004446
,0.2586538,0.0007456
,0.2619863,0.0004036
,0.2597863,0.0008787
,0.2594805,0.0002794
,0.2580222,0.0003712
,0.2579836,0.0011276
,0.2611681,0.0045589
,0.2643084,0.000542
,0.2593604,0.002933
,0.2586069,0.0017205
,0.2618777,0.0004968
,0.2592215,0.0017434
,0.2596935,0.0014982
,0.2582636,0.0004729
,0.2579806,0.0033092
,0.2586265,0.0009548
,0.2588572,0.0006068
,0.2544465,0.001509
,0.2603444,0.0013935
,0.2635468,0.0013445
,0.2633699,0.0006158
,0.2618507,0.0009375
,0.2587106,0.0014093
,0.2587814,0.0016847
,0.2628052,0.0023991
,0.2512322,6.34E-06
,0.2591796,0.000391
,0.2556379,0.0003594
,0.2579067,0.0008041
,0.2593103,0.0007079
,0.2656316,0.000057
,0.2655495,0.0008592
,0.2623331,0.0026811
,0.2567149,0.0012737
,0.2618341,0.0006015
,0.2622965,0.000473
,0.2558825,0.0003584
,0.2610992,0.0003896
,0.2606826,0.0012201
,0.2568694,0.0038807
,0.2660231,0.0004861
,0.2557152,0.000401
,0.2597771,0.0005037
,0.2584114,0.0017877
,0.2598669,0.0000848
,0.2626719,0.0006147
,0.2587713,0.0020468
,0.2573032,0.0010405
,0.2605194,0.0012518
,0.2565665,0.0016164
,0.2593451,0.0024857
,0.255978,0.0003631
,0.2587861,0.0015522
,0.2581049,0.0020639
,0.2560802,0.0002759
,0.2595613,0.0015104
,0.2583232,0.0004408
,0.2569116,0.0009168
,0.2706014,0.0016369
,0.2578843,0.000229
,0.2686579,0.0031698
,0.2593207,0.0007434
,0.2578816,0.0010134
,0.2557475,0.001476
,0.2591405,0.0000705
,0.2590013,0.0003647
,0.2605593,0.0003182
,0.2561202,0.000662
,0.2596516,0.00075
,0.2594501,0.0027839
,0.2605686,0.0001251
,0.2600287,0.0002451
,0.2625973,0.0011484
,0.263719,0.0012408
,0.2609614,0.0049389
,0.2581488,0.0028911
,0.2667028,0.0015131
,0.2592911,0.0006048
,0.2601266,0.0006419
,0.2616764,0.0002865
,0.2614156,0.000398
,0.2586903,0.001597
,0.2710993,0.0019901
,0.2583776,0.00178
,0.2545907,0.0014981
,0.2606685,0.000195
,0.2634274,0.0006215
,0.2625397,0.0003744
,0.2592194,0.0020643
,0.2645317,0.0024515
,0.2642931,0.0013017
,0.2628508,0.0015542
,0.261483,0.0023015
,0.2583739,0.0026428
,0.2602008,0.0014075
,0.2597088,0.0008747
,0.2574371,0.0005985
,0.261832,0.0001371
,0.2611958,0.0000951
,0.2634193,0.0012541
,0.2668811,0.0003881
,0.2603806,0.000782
,0.2570998,0.0005291
,0.2597197,0.0008351
,0.2614228,0.0013636
,0.2567303,0.0031071
,0.2580901,0.0006373
,0.2621443,0.0027556
,0.264339,0.0017134
,0.256513,0.0017675
,0.2568098,0.0005386
,0.2604859,0.0008745
,0.253921,0.0030123
,0.2574465,0.0002146
,0.2613917,0.0012752
,0.2510772,0.0004775
,0.2598816,0.0013028
,0.2537087,0.0019619
,0.2599,0.0007832
,0.2614933,0.000714
,0.2533608,0.0012296
,0.2564426,0.000245
,0.2601904,0.0008957
,0.2573448,0.0026369
,0.2590336,0.0001044
,0.2654889,0.0012246
,0.2600236,0.0013243
,0.2570242,0.0023059
,0.2632029,0.0007023
,0.2563643,0.0013708
,0.2564881,0.0000636
,0.2634125,0.0031627
,0.2552005,0.0013291
,0.2564907,0.0005369
,0.2591956,0.0008489
,0.2571532,0.0018924
,0.2624734,0.0005609
,0.2575164,0.0008148
,0.2603468,0.0002592
,0.2582365,0.0002445
,0.2579678,0.0005761
,0.2622541,0.0022347
,0.2608928,0.0005305
,0.2572002,0.0013385
,0.2606337,0.0011213
,0.2559867,0.0005262
,0.2688179,0.0008768
,0.2587614,0.0019512
,0.2586631,0.0008521
,0.261438,0.0009297
,0.2589832,0.002074
,0.2620835,0.0001712
,0.2642769,0.0010837
,0.2646261,0.0002868
,0.2645961,0.0006508
,0.2607566,0.0011109
,0.2590365,0.0006111
,0.2653602,0.0006748
,0.260015,0.0006396
,0.258439,0.0003635
,0.260997,0.0003998
,0.2595789,0.0004572
,0.2612947,0.0006873
,0.2577291,0.0015363
,0.2611251,4.65E-07
,0.2594557,0.0032568
,0.2569117,0.0000562
,0.259404,0.000701
,0.2605361,0.0004114
,0.259868,0.0003295
,0.2653423,0.0035999
,0.2623462,0.0007025
,0.263121,0.0003498
,0.2640044,0.0040224
,0.2610055,0.0007142
,0.2618804,0.0007079
,0.2559182,0.000109
,0.2581849,0.000335
,0.2587562,0.0021974
,0.2602,0.0012098
,0.2601471,0.0011546
,0.260109,0.0031197
,0.2587347,0.0014635
,0.2593796,0.000221
,0.257886,0.000539
,0.2548506,0.0000828
,0.2551086,0.0026624
,0.2609624,0.0004071
,0.260602,0.0012203
,0.2572423,0.0001719
,0.2578661,0.0039812
,0.2593643,0.0000417
,0.2593503,5.34E-06
,0.2571247,0.0006527
,0.2570543,0.0009184
,0.2704853,0.001757
,0.2566984,0.0013864
,0.2613981,0.0007674
,0.260028,0.0003307
,0.2575516,0.0008528
,0.2590481,0.002316
,0.2652541,0.0002176
,0.2678748,0.0006232
,0.2607377,0.000091
,0.2659254,0.0001483
,0.2628326,0.0057921
,0.264546,0.0008594
,0.2573658,0.0040587
,0.2543815,0.0010816
,0.2561939,0.0017003
,0.2631172,0.0009958
,0.2546049,0.0021297
,0.2631188,0.0005598
,0.2640744,0.0006818
,0.2582773,0.0010871
,0.2638884,0.0004147
,0.2601783,0.0017719
,0.2586519,0.0016298
,0.2525036,0.0017011
,0.2553872,0.0006928
,0.2616646,0.002855
,0.2612012,0.0017585
,0.262423,0.0006237
,0.2660239,0.0012823
,0.2555827,0.0021353
,0.2615937,0.0019372
,0.262602,0.0010396
,0.2615338,0.001326
,0.2640099,0.0010549
,0.2622836,0.0001319
,0.2577276,0.0007174
,0.2593126,0.0001646
,0.2601529,0.0017193
,0.2608503,0.0016456
,0.253149,0.0004216
,0.263709,0.0008909
,0.2665034,0.0002949
,0.2622204,0.0004133
,0.2636049,0.0002041
,0.2574061,0.0000222
,0.2586768,0.0029274
,0.2593531,0.0015645
,0.2652907,0.0003724
,0.2607584,0.0001656
,0.2626487,0.0010888
,0.2574078,0.0007538
,0.2600328,0.0002776
,0.2627396,0.0022295
,0.2536294,0.0016023
,0.2661686,0.0041327
,0.2632469,0.0011729
,0.2605333,0.0042194
,0.2633891,0.0000397
,0.2565351,0.0002222
,0.2573958,0.0006586
,0.2615461,0.0005993
,0.2579322,0.0019631
,0.2536996,0.000786
,0.259177,0.0005779
,0.2593236,0.0012329
,0.2618108,0.0015302
,0.2580465,0.0013383
,0.2605897,0.0001752
,0.2615253,0.0005206
,0.2562839,0.0001178
,0.2556614,0.0012095
,0.2554317,0.0018722
,0.2640215,0.0012905
,0.2545855,0.000265
,0.2552364,0.0020968
,0.2571099,0.0000794
,0.2615647,0.0002073
,0.2595295,0.0002432
,0.2622026,0.0015239
,0.2712858,0.0013181
,0.2585267,0.0022118
,0.2594464,0.0012288
,0.2609348,0.0005033
,0.2557273,0.0016534
,0.2568924,0.0001716
,0.2623047,0.0001315
,0.2629318,0.0001453
